"config","algorithm","avg_cost_per_step","avg_fill_rate","avg_stockout_rate","avg_bullwhip_cv","avg_transport_per_step","avg_route_distance_per_step","routing_feasible_rate","runtime_sec"
"env_3layers_hard","(s,S)+GARouting","2955.257898806527","0.4990628971219497","0.5009371028780504","3.9988823049010365","40.74678769541595","40.74678769541595","1.0","4.312360763549805"
"env_3layers_hard","GAInventory+Savings","955.2522746823034","0.8858710308001027","0.11412896919989739","2.617750584705195","113.00783023785897","113.00783023785897","1.0","0.6821200847625732"
"env_3layers_hard","GAInventory+Savings2Opt","955.2522746823034","0.8858710308001027","0.11412896919989739","2.617750584705195","113.00783023785897","113.00783023785897","1.0","0.63995361328125"
"env_3layers_hard","ALNSInventory+Savings","865.0454769401057","0.8968140335091287","0.1031859664908713","2.6377012186930435","118.73436582899461","118.73436582899461","1.0","0.20064139366149902"
"env_3layers_hard","ALNSInventory+Savings2Opt","865.0454769401057","0.8968140335091287","0.1031859664908713","2.6377012186930435","118.73436582899461","118.73436582899461","1.0","0.2066972255706787"
"env_3layers_hard","ALNS-IRP","914.5847868010796","0.8972271621246984","0.10277283787530156","2.8249381768064166","117.42923124552402","117.42923124552402","1.0","0.7613813877105713"
"env_3layers_hard","MILP","356.76666666666665","0.9899964825363202","0.010003517463679779","1.6134589869747369","0.0","0.0","1.0","3.484839916229248"
"env_3layers","BaseStock","985.0777777777779","0.7441155310637585","0.25588446893624156","8.322972094266648","0.0","0.0","1.0","0.021979331970214844"
"env_3layers","(s,S)","1067.311111111111","0.7158598671081607","0.2841401328918392","9.668289676744466","0.0","0.0","1.0","0.021054744720458984"
"env_3layers","BaseStock+Savings","1038.8263530095974","0.7441155310637585","0.25588446893624156","8.322972094266648","53.74857523181958","53.74857523181958","1.0","0.03279685974121094"
"env_3layers","(s,S)+Savings","1109.6429678522322","0.7158598671081607","0.2841401328918392","9.668289676744466","42.33185674112102","42.33185674112102","1.0","0.033292293548583984"
"env_3layers","BaseStock+Savings2Opt","1038.8263530095974","0.7441155310637585","0.25588446893624156","8.322972094266648","53.74857523181958","53.74857523181958","1.0","0.03151059150695801"
"env_3layers","(s,S)+Savings2Opt","1109.6429678522322","0.7158598671081607","0.2841401328918392","9.668289676744466","42.33185674112102","42.33185674112102","1.0","0.02755880355834961"
"env_3layers","BaseStock+NearestInsertion","1038.8263530095974","0.7441155310637585","0.25588446893624156","8.322972094266648","53.74857523181958","53.74857523181958","1.0","0.026384353637695312"
"env_3layers","(s,S)+NearestInsertion","1109.6429678522322","0.7158598671081607","0.2841401328918392","9.668289676744466","42.33185674112102","42.33185674112102","1.0","0.02659153938293457"
"env_3layers","BaseStock+GARouting","1038.8263530095974","0.7441155310637585","0.25588446893624156","8.322972094266648","53.74857523181958","53.74857523181958","1.0","4.969282865524292"
"env_3layers","(s,S)+GARouting","1109.6429678522322","0.7158598671081607","0.2841401328918392","9.668289676744466","42.33185674112102","42.33185674112102","1.0","3.6981091499328613"
"env_3layers","GAInventory+Savings","937.2146901688948","0.9931844985525755","0.006815501447424414","3.9079180827241715","115.71469016889495","115.71469016889495","1.0","1.1042742729187012"
