algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action
MAPPO-GNN,25,21.44814814814815,12.273846641760665,0.041025641025641026,0.038461538461538464,0,21.44814814814815,12.273846641760665,0.041025641025641026,0.038461538461538464,0,17.9;16.5667;31.6;26.5333;15.9333;15.1333;26.9667;26.9667;15.4333,8.14596;8.80032;13.829;11.9268;7.42937;8.96933;14.4094;10.9437;9.09829,17.2333;24.6889;21.125,17.9;16.5667;31.6;26.5333;15.9333;15.1333;26.9667;26.9667;15.4333,8.14596;8.80032;13.829;11.9268;7.42937;8.96933;14.4094;10.9437;9.09829,17.2333;24.6889;21.125
MAPPO-GNN,26,23.033333333333335,13.801060077373016,0.017948717948717947,0.03076923076923077,0,23.033333333333335,13.801060077373016,0.017948717948717947,0.03076923076923077,0,14.3;16.2333;30.8667;35.7667;15.4;16.8333;31.4667;30.5;15.9333,8.76413;8.64362;13.6473;10.1511;8.68946;9.12901;15.1322;14.3289;7.76287,15.2667;27.3444;23.6833,14.3;16.2333;30.8667;35.7667;15.4;16.8333;31.4667;30.5;15.9333,8.76413;8.64362;13.6473;10.1511;8.68946;9.12901;15.1322;14.3289;7.76287,15.2667;27.3444;23.6833
MAPPO-GNN,27,21.666666666666668,12.867127222615114,0.03076923076923077,0.03076923076923077,0,21.666666666666668,12.867127222615114,0.03076923076923077,0.03076923076923077,0,16.4333;12.8333;27.8;29.3667;16.2333;14.8;33.3;27.7333;16.5,8.70894;8.49739;13.927;11.2856;8.65133;8.84835;11.5359;13.7863;8.15986,14.6333;24.4667;23.0833,16.4333;12.8333;27.8;29.3667;16.2333;14.8;33.3;27.7333;16.5,8.70894;8.49739;13.927;11.2856;8.65133;8.84835;11.5359;13.7863;8.15986,14.6333;24.4667;23.0833
MAPPO-GNN,28,21.40740740740741,12.390137234343737,0.03076923076923077,0.03333333333333333,0,21.40740740740741,12.390137234343737,0.03076923076923077,0.03333333333333333,0,15.0667;16.0667;26.8667;27.4333;15.6;14.6667;27.1333;33.4667;16.3667,7.61986;9.0772;13.9588;10.1314;9.23255;8.328;11.8399;12.722;8.3326,15.5667;23.3;22.9083,15.0667;16.0667;26.8667;27.4333;15.6;14.6667;27.1333;33.4667;16.3667,7.61986;9.0772;13.9588;10.1314;9.23255;8.328;11.8399;12.722;8.3326,15.5667;23.3;22.9083
MAPPO-GNN,29,22.385185185185186,14.223863716999698,0.01282051282051282,0.046153846153846156,0,22.385185185185186,14.223863716999698,0.01282051282051282,0.046153846153846156,0,13.7;14.7;27.5667;36.1;14.8667;16.4667;33.8667;31.4667;12.7333,8.45833;9.24536;13.7881;12.7393;7.4015;8.55856;14.9883;11.1347;9.29133,14.2;26.1778;23.6333,13.7;14.7;27.5667;36.1;14.8667;16.4667;33.8667;31.4667;12.7333,8.45833;9.24536;13.7881;12.7393;7.4015;8.55856;14.9883;11.1347;9.29133,14.2;26.1778;23.6333
MAPPO-GNN,30,22.274074074074075,13.89533874928841,0.010256410256410256,0.028205128205128206,0,22.274074074074075,13.89533874928841,0.010256410256410256,0.028205128205128206,0,14.7667;12.0667;33.8;29.6333;13.8;17.2667;34.0667;31.0667;14,9.47517;6.92788;13.0266;13.5928;8.32026;7.87373;11.3547;13.1654;9.09579,13.4167;25.7444;24.1,14.7667;12.0667;33.8;29.6333;13.8;17.2667;34.0667;31.0667;14,9.47517;6.92788;13.0266;13.5928;8.32026;7.87373;11.3547;13.1654;9.09579,13.4167;25.7444;24.1
MAPPO-GNN,31,21.44074074074074,12.516441313528652,0.028205128205128206,0.028205128205128206,0,21.44074074074074,12.516441313528652,0.028205128205128206,0.028205128205128206,0,15.3333;15.0667;26.7667;25.2333;15.9;12.3333;34.1667;31.0667;17.1,8.31598;8.9775;13.0504;8.76616;7.49822;8.29993;11.7985;13.0994;8.32807,15.2;22.6333;23.6667,15.3333;15.0667;26.7667;25.2333;15.9;12.3333;34.1667;31.0667;17.1,8.31598;8.9775;13.0504;8.76616;7.49822;8.29993;11.7985;13.0994;8.32807,15.2;22.6333;23.6667
MAPPO-GNN,32,22.477777777777778,13.207092183770706,0.03333333333333333,0.041025641025641026,0,22.477777777777778,13.207092183770706,0.03333333333333333,0.041025641025641026,0,17.4667;14.7333;32.0667;27.8333;15;14.9;32.5333;32.3667;15.4,9.49292;9.01456;14.8345;13.4662;9.05539;7.85854;9.87837;10.898;8.301,16.1;24.9667;23.8,17.4667;14.7333;32.0667;27.8333;15;14.9;32.5333;32.3667;15.4,9.49292;9.01456;14.8345;13.4662;9.05539;7.85854;9.87837;10.898;8.301,16.1;24.9667;23.8
MAPPO-GNN,33,20.977777777777778,11.985773459902317,0.035897435897435895,0.04358974358974359,0,20.977777777777778,11.985773459902317,0.035897435897435895,0.04358974358974359,0,15.9333;15.1667;29.8;25.9667;17.7333;15.7667;27.9333;27.1667;13.3333,8.03299;8.3749;13.093;11.968;8.36633;8.25705;11.2218;12.5169;8.83679,15.55;24.5;21.05,15.9333;15.1667;29.8;25.9667;17.7333;15.7667;27.9333;27.1667;13.3333,8.03299;8.3749;13.093;11.968;8.36633;8.25705;11.2218;12.5169;8.83679,15.55;24.5;21.05
MAPPO-GNN,34,22.144444444444446,12.741499223762318,0.03333333333333333,0.020512820512820513,0,22.144444444444446,12.741499223762318,0.03333333333333333,0.020512820512820513,0,17.5667;14.8;27.6333;29.1;15.3;14.3667;34.5667;30.0333;15.9333,8.08984;9.28583;11.9373;12.4321;7.75951;8.94235;12.6034;10.8765;8.89919,16.1833;24.0111;23.725,17.5667;14.8;27.6333;29.1;15.3;14.3667;34.5667;30.0333;15.9333,8.08984;9.28583;11.9373;12.4321;7.75951;8.94235;12.6034;10.8765;8.89919,16.1833;24.0111;23.725
MAPPO-GNN,35,22.314814814814813,12.647388947444002,0.017948717948717947,0.02564102564102564,0,22.314814814814813,12.647388947444002,0.017948717948717947,0.02564102564102564,0,14.0667;17.0333;31.1667;29.8;15.0333;15.4333;31.2;32.2;14.9,8.23785;7.96862;12.5009;9.62427;7.98533;7.02227;12.1419;12.6633;8.72678,15.55;25.3333;23.4333,14.0667;17.0333;31.1667;29.8;15.0333;15.4333;31.2;32.2;14.9,8.23785;7.96862;12.5009;9.62427;7.98533;7.02227;12.1419;12.6633;8.72678,15.55;25.3333;23.4333
MAPPO-GNN,36,21.6,12.713189418284665,0.04358974358974359,0.03333333333333333,0,21.6,12.713189418284665,0.04358974358974359,0.03333333333333333,0,18.9333;17.3;23.3;27.8667;14.4;13.0667;29.5;35.7667;14.2667,8.52421;8.60291;11.2906;12.5982;7.90612;9.36993;12.2195;11.43;9.06618,18.1167;21.8556;23.15,18.9333;17.3;23.3;27.8667;14.4;13.0667;29.5;35.7667;14.2667,8.52421;8.60291;11.2906;12.5982;7.90612;9.36993;12.2195;11.43;9.06618,18.1167;21.8556;23.15
MAPPO-GNN,37,21.81111111111111,12.160251987317604,0.02564102564102564,0.05128205128205128,0,21.81111111111111,12.160251987317604,0.02564102564102564,0.05128205128205128,0,17.0667;18.0667;27.7667;30.8;16.4;13.4333;27;31.2;14.5667,9.34143;7.99555;11.7861;11.9398;7.13022;8.56615;11.6562;11.6745;9.05422,17.5667;24.9889;21.55,17.0667;18.0667;27.7667;30.8;16.4;13.4333;27;31.2;14.5667,9.34143;7.99555;11.7861;11.9398;7.13022;8.56615;11.6562;11.6745;9.05422,17.5667;24.9889;21.55
MAPPO-GNN,38,22.366666666666667,13.103674915698125,0.03076923076923077,0.028205128205128206,0,22.366666666666667,13.103674915698125,0.03076923076923077,0.028205128205128206,0,15.8333;15.2;29.6333;33.3;17.9667;15.8;27.3;30.3;15.9667,7.96276;9.33952;14.4303;13.2518;8.0145;8.40397;13.8664;13.0847;7.44528,15.5167;26.9667;22.3417,15.8333;15.2;29.6333;33.3;17.9667;15.8;27.3;30.3;15.9667,7.96276;9.33952;14.4303;13.2518;8.0145;8.40397;13.8664;13.0847;7.44528,15.5167;26.9667;22.3417
